Product code,Station number,Year,Month,Monthly Precipitation Total (mm),Quality
IDCJAC0001,86071,1890,2,14.3,Y
IDCJAC0001,86071,1890,3,37.9,Y
IDCJAC0001,86071,1890,4,49.6,Y
IDCJAC0001,86071,1890,5,59.8,Y
IDCJAC0001,86071,1890,6,43.7,Y
IDCJAC0001,86071,1890,7,68,Y
IDCJAC0001,86071,1890,8,38.1,Y
IDCJAC0001,86071,1890,9,53.1,Y
IDCJAC0001,86071,1890,10,58.2,Y
IDCJAC0001,86071,1890,11,123.5,Y
IDCJAC0001,86071,1890,12,36,Y
IDCJAC0001,86071,1891,1,30.9,Y
IDCJAC0001,86071,1891,2,9.4,Y
IDCJAC0001,86071,1891,3,32,Y
IDCJAC0001,86071,1891,4,61.3,Y
IDCJAC0001,86071,1891,5,56.9,Y
IDCJAC0001,86071,1891,6,64.9,Y
IDCJAC0001,86071,1891,7,178.4,Y
IDCJAC0001,86071,1891,8,37.1,Y
IDCJAC0001,86071,1891,9,29,Y
IDCJAC0001,86071,1891,10,73.7,Y
IDCJAC0001,86071,1891,11,53.8,Y
IDCJAC0001,86071,1891,12,52.3,Y
IDCJAC0001,86071,1892,1,22,Y
IDCJAC0001,86071,1892,2,14.7,Y
IDCJAC0001,86071,1892,3,40.2,Y
IDCJAC0001,86071,1892,4,132.8,Y
IDCJAC0001,86071,1892,5,50.6,Y
IDCJAC0001,86071,1892,6,33.1,Y
IDCJAC0001,86071,1892,7,36.9,Y
IDCJAC0001,86071,1892,8,52.5,Y
IDCJAC0001,86071,1892,9,58.6,Y
IDCJAC0001,86071,1892,10,88,Y
IDCJAC0001,86071,1892,11,63.6,Y
IDCJAC0001,86071,1892,12,42.7,Y
IDCJAC0001,86071,1893,1,4.9,Y
IDCJAC0001,86071,1893,2,6.4,Y
IDCJAC0001,86071,1893,3,36.9,Y
IDCJAC0001,86071,1893,4,52.9,Y
IDCJAC0001,86071,1893,5,94.5,Y
IDCJAC0001,86071,1893,6,88.9,Y
IDCJAC0001,86071,1893,7,59.3,Y
IDCJAC0001,86071,1893,8,43.7,Y
IDCJAC0001,86071,1893,9,82.2,Y
IDCJAC0001,86071,1893,10,88.1,Y
IDCJAC0001,86071,1893,11,60.4,Y
IDCJAC0001,86071,1893,12,64.8,Y
IDCJAC0001,86071,1894,1,12,Y
IDCJAC0001,86071,1894,2,5.3,Y
IDCJAC0001,86071,1894,3,27,Y
IDCJAC0001,86071,1894,4,72.4,Y
IDCJAC0001,86071,1894,5,40.8,Y
IDCJAC0001,86071,1894,6,56.3,Y
IDCJAC0001,86071,1894,7,57,Y
IDCJAC0001,86071,1894,8,49.9,Y
IDCJAC0001,86071,1894,9,68.5,Y
IDCJAC0001,86071,1894,10,97,Y
IDCJAC0001,86071,1894,11,20.6,Y
IDCJAC0001,86071,1894,12,69.1,Y
IDCJAC0001,86071,1895,1,46.2,Y
IDCJAC0001,86071,1895,2,18.9,Y
IDCJAC0001,86071,1895,3,45.8,Y
IDCJAC0001,86071,1895,4,39.4,Y
IDCJAC0001,86071,1895,5,23.9,Y
IDCJAC0001,86071,1895,6,38.7,Y
IDCJAC0001,86071,1895,7,52,Y
IDCJAC0001,86071,1895,8,46.2,Y
IDCJAC0001,86071,1895,9,47.3,Y
IDCJAC0001,86071,1895,10,14.5,Y
IDCJAC0001,86071,1895,11,6.5,Y
IDCJAC0001,86071,1895,12,55.4,Y
IDCJAC0001,86071,1896,1,66.5,Y
IDCJAC0001,86071,1896,2,78.3,Y
IDCJAC0001,86071,1896,3,49.8,Y
IDCJAC0001,86071,1896,4,69,Y
IDCJAC0001,86071,1896,5,66.5,Y
IDCJAC0001,86071,1896,6,65.3,Y
IDCJAC0001,86071,1896,7,58.8,Y
IDCJAC0001,86071,1896,8,70.1,Y
IDCJAC0001,86071,1896,9,49.3,Y
IDCJAC0001,86071,1896,10,18.1,Y
IDCJAC0001,86071,1896,11,20,Y
IDCJAC0001,86071,1896,12,29.6,Y
IDCJAC0001,86071,1897,1,138.7,Y
IDCJAC0001,86071,1897,2,75.6,Y
IDCJAC0001,86071,1897,3,38,Y
IDCJAC0001,86071,1897,4,16.3,Y
IDCJAC0001,86071,1897,5,50.2,Y
IDCJAC0001,86071,1897,6,41.8,Y
IDCJAC0001,86071,1897,7,62.2,Y
IDCJAC0001,86071,1897,8,48.3,Y
IDCJAC0001,86071,1897,9,64.7,Y
IDCJAC0001,86071,1897,10,45.2,Y
IDCJAC0001,86071,1897,11,21,Y
IDCJAC0001,86071,1897,12,55.8,Y
IDCJAC0001,86071,1898,1,7.6,Y
IDCJAC0001,86071,1898,2,7.1,Y
IDCJAC0001,86071,1898,3,29.2,Y
IDCJAC0001,86071,1898,4,40.7,Y
IDCJAC0001,86071,1898,5,55.1,Y
IDCJAC0001,86071,1898,6,39.9,Y
IDCJAC0001,86071,1898,7,47.6,Y
IDCJAC0001,86071,1898,8,23.6,Y
IDCJAC0001,86071,1898,9,73.6,Y
IDCJAC0001,86071,1898,10,30.9,Y
IDCJAC0001,86071,1898,11,17.1,Y
IDCJAC0001,86071,1898,12,24.7,Y
IDCJAC0001,86071,1899,1,99.2,Y
IDCJAC0001,86071,1899,2,36.6,Y
IDCJAC0001,86071,1899,3,75.8,Y
IDCJAC0001,86071,1899,4,64,Y
IDCJAC0001,86071,1899,5,90,Y
IDCJAC0001,86071,1899,6,77.5,Y
IDCJAC0001,86071,1899,7,32.8,Y
IDCJAC0001,86071,1899,8,63.6,Y
IDCJAC0001,86071,1899,9,28.3,Y
IDCJAC0001,86071,1899,10,83.4,Y
IDCJAC0001,86071,1899,11,51.3,Y
IDCJAC0001,86071,1899,12,31.2,Y
IDCJAC0001,86071,1900,1,84,Y
IDCJAC0001,86071,1900,2,11.7,Y
IDCJAC0001,86071,1900,3,100.4,Y
IDCJAC0001,86071,1900,4,126.4,Y
IDCJAC0001,86071,1900,5,97.5,Y
IDCJAC0001,86071,1900,6,44.7,Y
IDCJAC0001,86071,1900,7,27.2,Y
IDCJAC0001,86071,1900,8,59.5,Y
IDCJAC0001,86071,1900,9,74,Y
IDCJAC0001,86071,1900,10,32.8,Y
IDCJAC0001,86071,1900,11,26.5,Y
IDCJAC0001,86071,1900,12,30.1,Y
IDCJAC0001,86071,1901,1,76.5,Y
IDCJAC0001,86071,1901,2,16.3,Y
IDCJAC0001,86071,1901,3,79.7,Y
IDCJAC0001,86071,1901,4,170.6,Y
IDCJAC0001,86071,1901,5,11.5,Y
IDCJAC0001,86071,1901,6,50.7,Y
IDCJAC0001,86071,1901,7,32.1,Y
IDCJAC0001,86071,1901,8,48,Y
IDCJAC0001,86071,1901,9,37.5,Y
IDCJAC0001,86071,1901,10,109.6,Y
IDCJAC0001,86071,1901,11,48.5,Y
IDCJAC0001,86071,1901,12,17.3,Y
IDCJAC0001,86071,1902,1,38.9,Y
IDCJAC0001,86071,1902,2,24.3,Y
IDCJAC0001,86071,1902,3,138.3,Y
IDCJAC0001,86071,1902,4,14.7,Y
IDCJAC0001,86071,1902,5,26.7,Y
IDCJAC0001,86071,1902,6,68.8,Y
IDCJAC0001,86071,1902,7,14.9,Y
IDCJAC0001,86071,1902,8,22.6,Y
IDCJAC0001,86071,1902,9,84.3,Y
IDCJAC0001,86071,1902,10,19.7,Y
IDCJAC0001,86071,1902,11,25,Y
IDCJAC0001,86071,1902,12,110.4,Y
IDCJAC0001,86071,1903,1,24,Y
IDCJAC0001,86071,1903,2,34.5,Y
IDCJAC0001,86071,1903,3,74.5,Y
IDCJAC0001,86071,1903,4,95.5,Y
IDCJAC0001,86071,1903,5,49.4,Y
IDCJAC0001,86071,1903,6,85.3,Y
IDCJAC0001,86071,1903,7,29.1,Y
IDCJAC0001,86071,1903,8,12.4,Y
IDCJAC0001,86071,1903,9,80.9,Y
IDCJAC0001,86071,1903,10,70.3,Y
